Jay Russell: Mean_cast=8, Mean_crew=35.666668
Kenny Ortega: Mean_cast=17.6, Mean_crew=7.6
David McNally: Mean_cast=13.5, Mean_crew=25
Brian Robbins: Mean_cast=27.166666, Mean_crew=20.666666
Brian Levant: Mean_cast=14.5, Mean_crew=14.666667
Steven Zaillian: Mean_cast=15.5, Mean_crew=19
Sam Fell: Mean_cast=21, Mean_crew=73
Jon Avnet: Mean_cast=20, Mean_crew=9.333333
Robert Stevenhagen: Mean_cast=18, Mean_crew=76
Kevin Donovan: Mean_cast=15, Mean_crew=36
Geoff Murphy: Mean_cast=12, Mean_crew=20
David O. Russell: Mean_cast=38.5, Mean_crew=35.625
Babak Najafi: Mean_cast=29, Mean_crew=101
Jean-Pierre Jeunet: Mean_cast=39.4, Mean_crew=41
Anthony Stacchi: Mean_cast=18, Mean_crew=74
Griffin Dunne: Mean_cast=42.666668, Mean_crew=49
John Pasquin: Mean_cast=13.333333, Mean_crew=20.333334
Ruben Fleischer: Mean_cast=23.666666, Mean_crew=30.666666
Harold Ramis: Mean_cast=25.5, Mean_crew=17.125
Kevin Macdonald: Mean_cast=14.666667, Mean_crew=25
Donald Petrie: Mean_cast=14, Mean_crew=13.5
Jorge Blanco: Mean_cast=18, Mean_crew=15
Stuart Baird: Mean_cast=18, Mean_crew=20.5
Joel Coen: Mean_cast=34.454544, Mean_crew=35.454544
Robert Lorenz: Mean_cast=46, Mean_crew=19
Harold Becker: Mean_cast=13.25, Mean_crew=27.75
Scott Stewart: Mean_cast=13, Mean_crew=19.5
Tony Bill: Mean_cast=16, Mean_crew=81
Rod Lurie: Mean_cast=14.8, Mean_crew=11.8
Walter Hill: Mean_cast=16.75, Mean_crew=44
Akiva Goldsman: Mean_cast=33, Mean_crew=12
Harald Zwart: Mean_cast=21.5, Mean_crew=31
Walter Salles: Mean_cast=16, Mean_crew=23.666666
Iain Softley: Mean_cast=23.75, Mean_crew=53.25
Frank Miller: Mean_cast=15, Mean_crew=24
David Koepp: Mean_cast=14.8, Mean_crew=33.8
Uwe Boll: Mean_cast=15.6, Mean_crew=12.2
Soi Cheang: Mean_cast=11, Mean_crew=3
John Dahl: Mean_cast=39.5, Mean_crew=40.25
Tim Miller: Mean_cast=47, Mean_crew=88
Stephen Herek: Mean_cast=15, Mean_crew=14
Peter MacDonald: Mean_cast=16, Mean_crew=25
Anthony Hemingway: Mean_cast=16, Mean_crew=88
Sean Anders: Mean_cast=19.75, Mean_crew=23.75
Brian Taylor: Mean_cast=28.75, Mean_crew=73
John Madden: Mean_cast=14, Mean_crew=17.2
Kevin Bray: Mean_cast=28, Mean_crew=17.5
Mike Gabriel: Mean_cast=16, Mean_crew=31
Sam Weisman: Mean_cast=40.75, Mean_crew=13.25
Jesse Dylan: Mean_cast=15, Mean_crew=69
Wayne Wang: Mean_cast=14.2, Mean_crew=23.4
Gabriele Muccino: Mean_cast=26.75, Mean_crew=17.5
Tom Dey: Mean_cast=17.333334, Mean_crew=13.333333
Jimmy Hayward: Mean_cast=21.5, Mean_crew=22.5
Alan Parker: Mean_cast=54.666668, Mean_crew=22.666666
John Frankenheimer: Mean_cast=21, Mean_crew=25
Paul King: Mean_cast=68, Mean_crew=8
Akiva Schaffer: Mean_cast=19.5, Mean_crew=17.5
William Friedkin: Mean_cast=13.5, Mean_crew=22.666666
Kent Alterman: Mean_cast=16, Mean_crew=3
Peter Lord: Mean_cast=13, Mean_crew=57
Shekhar Kapur: Mean_cast=29.666666, Mean_crew=44.666668
Karyn Kusama: Mean_cast=36, Mean_crew=18
Ronald F. Maxwell: Mean_cast=21.5, Mean_crew=38.5
Robert Butler: Mean_cast=45, Mean_crew=32
Steve Antin: Mean_cast=33, Mean_crew=19
Jim Gillespie: Mean_cast=11.5, Mean_crew=45.5
Francis Ford Coppola: Mean_cast=32.166668, Mean_crew=26.583334
Richard Lester: Mean_cast=19.6, Mean_crew=23.4
Scott Cooper: Mean_cast=38.333332, Mean_crew=40.666668
Curtis Hanson: Mean_cast=20.285715, Mean_crew=42.57143
Phyllida Lloyd: Mean_cast=28.5, Mean_crew=14.5
Jay Chandrasekhar: Mean_cast=18.5, Mean_crew=48.75
Terrence Malick: Mean_cast=16.5, Mean_crew=21.5
David Dobkin: Mean_cast=22.5, Mean_crew=24.25
Miloš Forman: Mean_cast=36.666668, Mean_crew=29.666666
Pierre Morel: Mean_cast=28.25, Mean_crew=39.25
Paul Hunter: Mean_cast=15, Mean_crew=11
Steve Oedekerk: Mean_cast=12.75, Mean_crew=26.5
John Whitesell: Mean_cast=24.2, Mean_crew=18.8
George Nolfi: Mean_cast=20, Mean_crew=64
Neil Jordan: Mean_cast=14.5, Mean_crew=16.75
Rawson Marshall Thurber: Mean_cast=24.333334, Mean_crew=72
Spike Lee: Mean_cast=23.9375, Mean_crew=11.5
Brian Helgeland: Mean_cast=20.4, Mean_crew=69.4
Frank Marshall: Mean_cast=25, Mean_crew=12.25
Hideo Nakata: Mean_cast=17, Mean_crew=106
Peter Hewitt: Mean_cast=19.25, Mean_crew=18.25
Joe Roth: Mean_cast=27.5, Mean_crew=10.5
Bennett Miller: Mean_cast=42, Mean_crew=35.5
Jaume Collet-Serra: Mean_cast=19.166666, Mean_crew=52.166668
Andy Fickman: Mean_cast=26.5, Mean_crew=12.666667
James McTeigue: Mean_cast=36.5, Mean_crew=78.25
Matthew O'Callaghan: Mean_cast=23, Mean_crew=52
Angela Robinson: Mean_cast=21, Mean_crew=63
Gary Fleder: Mean_cast=13.833333, Mean_crew=32
Tommy Wirkola: Mean_cast=16.5, Mean_crew=26
Adrian Lyne: Mean_cast=15.5, Mean_crew=17.25
Stephen Gaghan: Mean_cast=22.5, Mean_crew=25.5
Jorge R. Gutierrez: Mean_cast=28, Mean_crew=16
Richard Loncraine: Mean_cast=15.666667, Mean_crew=8.333333
Christophe Gans: Mean_cast=16, Mean_crew=38
Howard Deutch: Mean_cast=19.333334, Mean_crew=41
Jon Hurwitz: Mean_cast=20.5, Mean_crew=9
Steven Quale: Mean_cast=54.5, Mean_crew=62
John Landis: Mean_cast=31, Mean_crew=21.2
Alexander Witt: Mean_cast=87, Mean_crew=94
Beeban Kidron: Mean_cast=43, Mean_crew=86
Carl Franklin: Mean_cast=18.333334, Mean_crew=41.333332
Steven Seagal: Mean_cast=10, Mean_crew=12
Danny Boyle: Mean_cast=18.875, Mean_crew=39.25
Andrew Bergman: Mean_cast=13, Mean_crew=18.5
Barbet Schroeder: Mean_cast=18, Mean_crew=18.5
Peter Webber: Mean_cast=15, Mean_crew=16
Andrew Niccol: Mean_cast=21.4, Mean_crew=28.8
